ID_Cliente,cuit,nombre_cliente,herramienta,usa_herramienta,gerente_responsable
1,30717579360,Spotify,NFE Alert,True,Gabriel Alvarado
1,30717579360,Spotify,Acrobat Tools,True,Gabriel Alvarado
1,30717579360,Spotify,Permisos de Embarque MOA Reingeniería,False,Gabriel Alvarado
1,30717579360,Spotify,Calendarios Impositivos,True,Gabriel Alvarado
1,30717579360,Spotify,Padrones Impositivos - ComplyPro,True,Gabriel Alvarado
1,30717579360,Spotify,Control de duplicados - ComplyPro,False,Gabriel Alvarado
1,30717579360,Spotify,Sumarizacion y control por totales - ComplyPro,False,Gabriel Alvarado
1,30717579360,Spotify,Control de correlatividad - ComplyPro,False,Gabriel Alvarado
1,30717579360,Spotify,Identificacion de registros faltantes - ComplyPro,False,Gabriel Alvarado
1,30717579360,Spotify,Conciliacion de Deducciones - ComplyPro,True,Gabriel Alvarado
1,30717579360,Spotify,Descarga de deducciones - ComplyPro,False,Gabriel Alvarado
2,30702022165,Verizon,NFE Alert,True,Gabriel Alvarado
2,30702022165,Verizon,Acrobat Tools,True,Gabriel Alvarado
2,30702022165,Verizon,Permisos de Embarque MOA Reingeniería,False,Gabriel Alvarado
2,30702022165,Verizon,Calendarios Impositivos,True,Gabriel Alvarado
2,30702022165,Verizon,Padrones Impositivos - ComplyPro,True,Gabriel Alvarado
2,30702022165,Verizon,Control de duplicados - ComplyPro,False,Gabriel Alvarado
2,30702022165,Verizon,Sumarizacion y control por totales - ComplyPro,False,Gabriel Alvarado
2,30702022165,Verizon,Control de correlatividad - ComplyPro,False,Gabriel Alvarado
2,30702022165,Verizon,Identificacion de registros faltantes - ComplyPro,False,Gabriel Alvarado
2,30702022165,Verizon,Conciliacion de Deducciones - ComplyPro,True,Gabriel Alvarado
2,30702022165,Verizon,Descarga de deducciones - ComplyPro,False,Gabriel Alvarado
3,30686513072,PPG,NFE Alert,False,Gabriel Alvarado
3,30686513072,PPG,Acrobat Tools,True,Gabriel Alvarado
3,30686513072,PPG,Permisos de Embarque MOA Reingeniería,False,Gabriel Alvarado
3,30686513072,PPG,Calendarios Impositivos,True,Gabriel Alvarado
3,30686513072,PPG,Padrones Impositivos - ComplyPro,True,Gabriel Alvarado
3,30686513072,PPG,Control de duplicados - ComplyPro,False,Gabriel Alvarado
3,30686513072,PPG,Sumarizacion y control por totales - ComplyPro,False,Gabriel Alvarado
3,30686513072,PPG,Control de correlatividad - ComplyPro,False,Gabriel Alvarado
3,30686513072,PPG,Identificacion de registros faltantes - ComplyPro,False,Gabriel Alvarado
3,30686513072,PPG,Conciliacion de Deducciones - ComplyPro,True,Gabriel Alvarado
3,30686513072,PPG,Descarga de deducciones - ComplyPro,False,Gabriel Alvarado
4,30717579360,Spotify,NFE Alert,False,Gabriel Alvarado
4,30717579360,Spotify,Acrobat Tools,True,Gabriel Alvarado
4,30717579360,Spotify,Permisos de Embarque MOA Reingeniería,False,Gabriel Alvarado
4,30717579360,Spotify,Calendarios Impositivos,True,Gabriel Alvarado
4,30717579360,Spotify,Padrones Impositivos - ComplyPro,True,Gabriel Alvarado
4,30717579360,Spotify,Control de duplicados - ComplyPro,False,Gabriel Alvarado
4,30717579360,Spotify,Sumarizacion y control por totales - ComplyPro,False,Gabriel Alvarado
4,30717579360,Spotify,Control de correlatividad - ComplyPro,False,Gabriel Alvarado
4,30717579360,Spotify,Identificacion de registros faltantes - ComplyPro,False,Gabriel Alvarado
4,30717579360,Spotify,Conciliacion de Deducciones - ComplyPro,True,Gabriel Alvarado
4,30717579360,Spotify,Descarga de deducciones - ComplyPro,False,Gabriel Alvarado
5,30515772819,INDUNOR,NFE Alert,False,Gabriel Alvarado
5,30515772819,INDUNOR,Acrobat Tools,True,Gabriel Alvarado
5,30515772819,INDUNOR,Permisos de Embarque MOA Reingeniería,False,Gabriel Alvarado
